Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST /Bet/DoBet 英國快樂连码,872,67,13,16,18,3003,0,5093,12.615%,2.15642,1.42,3.02
POST /Bet/DoBet PC蛋蛋大單大雙小單小雙,886,47,2,3,4,3003,0,6856,100.000%,2.19445,0.82,1.85
POST /Bet/DoBet 英國賽車冠亚,925,48,11,14,16,1335,0,6855,22.162%,2.28917,1.28,1.85
POST /Bet/DoBet 英國賽車前五,815,77,11,15,16,3004,0,6859,15.337%,2.02290,1.17,1.63
POST /Bet/DoBet PC蛋蛋單雙,903,66,2,3,3,3004,0,7053,100.000%,2.23934,0.84,1.71
POST /Bet/DoBet 英國賽車后五,873,63,11,14,16,3003,0,4628,15.235%,2.16727,1.27,1.75
POST /Bet/DoBet PC蛋蛋極大小,880,62,2,3,4,3004,0,6954,100.000%,2.18269,0.82,1.66
POST /Bet/DoBet 北京番攤-正,138,31,12,16,16,22,1,3003,10.870%,.34623,0.20,0.29
POST /Bet/DoBet 重庆番攤-正,205,122,13,16,19,3008,0,4768,10.244%,.52976,0.31,0.45
POST /Bet/DoBet 北京番攤-兩面,138,34,15,18,18,21,1,3004,11.594%,.36174,0.21,0.30
POST /Bet/DoBet 重庆番攤-念,180,112,13,16,20,3252,1,5499,11.667%,.48975,0.28,0.40
POST /Bet/DoBet 重庆番攤-兩面,191,72,14,17,18,2586,1,4917,13.613%,.52766,0.31,0.44
POST /Bet/DoBet 北京番攤-念,117,11,13,15,16,16,1,16,9.402%,.32724,0.19,0.27
POST /Bet/DoBet 重庆番攤-角,153,76,14,16,17,2630,1,4200,16.340%,.45138,0.26,0.38
POST /Bet/DoBet 北京番攤-角,106,255,14,17,2565,4527,1,6824,16.038%,.32658,0.19,0.28
POST /Bet/DoBet 重庆番攤-中,135,108,14,16,18,3682,1,3992,13.333%,.41616,0.24,0.34
POST /Bet/DoBet 北京番攤-中,95,33,2,3,3,8,1,2968,100.000%,.30438,0.11,0.18
TOTAL,49763,70,11,15,17,3004,0,7413,22.816%,119.66747,71.54,100.69
